"id","fecha_alta","ip_alta","fecha_ultimo_acceso","ip_ultimo_acceso","numero_votos","valoracion_votos","numero_comentarios","numero_imagenes","titulo","descripcion","telefono","fax","movil","pais","provincia","municipio","codigo_postal","url_web","latitud","longitud","descripcion_en","categoria","subcategoria","total_visitas","visible","preferencia","de_pago","fecha_ultima_actualizacion","email_contacto"
"","","","","","","","","","Casa Miguel","Avda Gran Poder, 26","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38250,"","28.553747832682078"," -16.3457472322625","","81","82","","","","","",""
"","","","","","","","","","Toneles, Los","C/ Núñez de la Peña, 47","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38202,"","28.4869238"," -16.31937070000003","","81","84","","","","","",""
"","","","","","","","","","CHINA II","Avda. Familia Bethencourt y Molina, 13","922 38 19 08","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.418451069984208"," -16.541437626583","","81","82","","","","","",""
"","","","","","","","","","Artillería","Pza. Doctor Olivera","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38202,"","28.4874009"," -16.31590610000000","","81","84","","","","","",""
"","","","","","","","","","Océano","C/. Océano Pacífico,1 -Apartamentos Océano.-Urb. Tesesinte","922 15 60 00","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38240,"","28.55211811494037"," -16.34732436854392","","81","82","","","","","",""
"","","","","","","","","","Mario Cafetería","Calle dieciocho, s/n. Candelaria","922 50 41 39","","","+34","Santa Cruz de Tenerife","Candelaria",38530,"","28.35559254490903"," -16.3709033132363","","81","83","","","","","",""
"","","","","","","","","","TRESSARDI","C/ Aceviño, s/n. Aptos. Masaru","922 38 20 56","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.415326461639832"," -16.53680276940576","","81","82","","","","","",""
"","","","","","","","","","MESON CASTELLANO","CALLAO DE LIMA, 4",922271074,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38003,"","28.4680684"," -16.25514169999996","","81","82","","","","","",""
"","","","","","","","","","Doris","Ctra. General Punta del Hidalgo, 83",""," ","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38208,"","28.5331937"," -16.36893380000003","","81","82","","","","","",""
"","","","","","","","","","POSADA, LA","C/. SAN FERNANDO, 7",922246772,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38001,"","28.4745556"," -16.25021549999996","","81","82","","","","","","la-posada@hotmail.com"
"","","","","","","","","","FALSETE, EL","EL FALSETE.; carretera general del sur, 103","922 50 09 03","","","+34","Santa Cruz de Tenerife","Candelaria",38530,"","28.3554684"," -16.37976019999996","","81","84","","","","","",""
"","","","","","","","","","Mercado","Mercado, Puesto 62","922 26 25 68 ","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38200,"","28.492914"," -16.3140129999999","","81","84","","","","","",""
"","","","","","","","","","ESQUIMO","C/ San Juan, 5"," "," ","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.555462964550127"," -16.34456706029595","","81","84","","","","","",""
"","","","","","","","","","Abogado (El)","Ctra. General Punta del Hidalgo, 35 ","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38240,"","28.5641946"," -16.33081630000003","","81","82","","","","","",""
"","","","","","","","","","CENTRO GALLEGO","C/ DE LOS SUEÑOS, 27",922272036,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38000,"","28.469237"," -16.26146119999998","","81","82","","","","","",""
"","","","","","","","","","SIDRERIA MARIANO","MENDEZ NUÑEZ, 33",922272002,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38003,"","28.4728281"," -16.2516907000000","","81","82","","","","","",""
"","","","","","","","","","LA PAPAYA","C/ El Lomo, 10","922 38 28 11","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.41764437052509"," -16.55254715689807","","81","82","","","","","",""
"","","","","","","","","","MAGNOLIA","Avda. Marqués Villanueva del Prado, s/n Urb. El Tope","922 38 56 14","922 38 01 27","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.411174434658648"," -16.53564405511133","","81","82","","","","","","restmagnolia@terra.es"
"","","","","","","","","","Herrera","Avda. Obispo Pérez Cáceres ,17","","","","+34","Santa Cruz de Tenerife","Güímar",38500,"","28.3143994"," -16.41048769999997","","81","83","","","","","",""
"","","","","","","","","","TASCA CANARIA, LA","SAN JUAN BAUTISTA, 39",922285006,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38002,"","28.4703409"," -16.24884120000001","","81","82","","","","","",""
"","","","","","","","","","FINCA, LA","RAMBLA DE SANTA CRUZ, 127",922289104,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38001,"","28.4746439"," -16.25159680000001","","81","82","","","","","",""
"","","","","","","","","","Cienfuegos","C/ San Juan, 82","922 25 70 50","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38203,"","28.4852543"," -16.3182282000000","","81","84","","","","","",""
"","","","","","","","","","ZEBRA MARIA","Ctra. del Botánico, s/n","922 38 18 55","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.413137231336297"," -16.537961483700","","81","82","","","","","",""
"","","","","","","","","","RUSTICO","Pº de San Telmo, 1","922 37 37 92","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.417402414087196"," -16.5465016372036","","81","82","","","","","",""
"","","","","","","","","","Casa Chelo","Ctra General, 5 -Edif Las Palmeras, L-5","922 15 08 79","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38250,"","28.548036807604255"," -16.3493843050673","","81","82","","","","","",""
"","","","","","","","","","Homician","Cmno. El Homician , s/n","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.566513"," -16.32153800000003","","81","84","","","","","",""
"","","","","","","","","","Plaza","C/ Obispo Pérez Cáceres, 02. Candelaria.","922 50 41 31","","","+34","Santa Cruz de Tenerife","Candelaria",38530,"","28.3388127"," -16.4169855000000","","81","82","","","","","",""
"","","","","","","","","","Casa Antonio","Ctra General de Bajamar, 2 ","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38250,"","28.5334152"," -16.3684510000000","","81","82","","","","","",""
"","","","","","","","","","Nueva Delhi","Avda. Trinidad, 9",""," ","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38201,"","28.4869773"," -16.31608019999998","","81","84","","","","","",""
"","","","","","","","","","Café Melita","Ctra General, 171","922 54 08 14","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38250,"","28.5557173"," -16.34002820000000","","81","84","","","","","",""
"","","","","","","","","","CRISTOBAL","LA ROSA, 75",922,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38000,"","28.4735169"," -16.24835259999997","","81","82","","","","","",""
"","","","","","","","","","CAPRICHO","AVDA.ANAGA, 1","922 28 30 36","","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38001,"","28.4796985"," -16.24227220000000","","81","84","","","","","",""
"","","","","","","","","","TEIDE","CAIRASCO, 13",922288903,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38004,"","28.466754"," -16.25672180000003","","81","82","","","","","",""
"","","","","","","","","","CABALLO BLANCO","GENERAL LA MATANZA KM.24.5, S/N. CTRA.","922 57 77 86/57 63 24",922,"","+34","Santa Cruz de Tenerife","Matanza de Acentejo (La)",38370,"","28.2915637"," -16.62913040000000","","81","83","","","","","",""
"","","","","","","","","","Beirut ","Calle Periodista Ernesto Salcedo, nº9. Candelaria","922 50 41 19","","","+34","Santa Cruz de Tenerife","Candelaria",38530,"","28.35499505007254"," -16.37025001640722","","81","84","","","","","",""
"","","","","","","","","","CUEVA CAPRICHOSA, LA","CarreteraGeneral del Sur, 7,5. Calle La Brita,9 (Bco. Grande)",922613657,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38109,"","28.4636296"," -16.25184669999998","","81","82","","","","","",""
"","","","","","","","","","Capricho (El)","Avda del Sol"," ","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38250,"","28.5560381"," -16.34313380000003","","81","84","","","","","",""
"","","","","","","","","","CALLAO","CALLAO DE LIMA, 2 BAJO",922271030,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38003,"","28.4693045"," -16.25395839999998","","81","82","","","","","",""
"","","","","","","","","","LIBANO, EL","SANTIAGO CUADRADO, 36",922285914,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38006,"","28.4676711"," -16.26274260000002","","81","82","","","","","",""
"","","","","","","","","","Catalina","Punta del Hidalgo","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.5690222"," -16.32453889999999","","81","84","","","","","",""
"","","","","","","","","","MOLINOS, LOS","LOS MOLINOS, 19",922127323,922,"","+34","Santa Cruz de Tenerife","Buenavista del Norte",38480,"","28.374702287560392"," -16.85304997488856","","81","82","","","","","",""
"","","","","","","","","","TIROLER ALM","Avda. Marqués Villanueva del Prado, s/n Urb. El Tope","922 38 24 70","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38410,"","28.411778376548128"," -16.53637361596338","","81","82","","","","","",""
"","","","","","","","","","Dos Terrazas","Obispo Pérez Cáceres, 30. Candelaria.","922 50 41 86","","","+34","Santa Cruz de Tenerife","Candelaria",38530,"","28.3534751"," -16.37006399999995","","81","82","","","","","",""
"","","","","","","","","","CLAVELITO","LA CUESTA, 75",922127738,"","","+34","Santa Cruz de Tenerife","Buenavista del Norte",38480,"","28.362367511782125"," -16.84505447745323","","81","82","","","","","",""
"","","","","","","","","","OLIMPIA","Plza. del Charco, 1 Edif. Olimpia","922 37 37 87","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.41665444743401"," -16.5512205360573","","81","83","","","","","",""
"","","","","","","","","","SNACK BAR TIO TAPAS","SANTA CRUZ-CONTINENTE, C.C.",922685552,922,"","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38109,"","28.4279051"," -16.3000185999999","","81","83","","","","","",""
"","","","","","","","","","FOOD-COURT GOFY","SANTA CRUZ-CONTINENTE, C.C.",922685552,922,"","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38109,"","28.4279051"," -16.3000185999999","","81","83","","","","","",""
"","","","","","","","","","Cristóbal Malián Súarez","Barriada Homician s/n","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.567336188054576"," -16.32775497157126","","81","84","","","","","",""
"","","","","","","","","","OLYMPO","PZA. LA CANDELARIA, 1 (EDIF. OLYMPO)",922241738,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38002,"","28.4636296"," -16.25184669999998","","81","82","","","","","",""
"","","","","","","","","","Canarias","Avda Trinidad, 11","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38204,"","28.4866155"," -16.31600619999994","","81","84","","","","","",""
"","","","","","","","","","COTO DE ANTONIO, EL","C/ DEL PERDÓN, 13",922272105,922151037,"","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38006,"http://www.restauranteelcotodeantonio.com","28.4694788"," -16.26075079999998","","81","82","","","","","","info@restauranteelcotodeantonio.com"
"","","","","","","","","","Sánchez, Casa","Ctra General Casa Perrera, 139 ","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38240,"","28.4874009"," -16.31590610000000","","81","82","","","","","",""
"","","","","","","","","","Habana (La)","Pza Dr Olivera, 18","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.4874009"," -16.31590610000000","","81","84","","","","","",""
"","","","","","","","","","META, LA","HELIODORO RODRIGUEZ LOPEZ, 32",922221600,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38005,"","28.4636084"," -16.2615352999999","","81","82","","","","","",""
"","","","","","","","","","Acentejo","C/ Núñez de la Peña12","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.4898373"," -16.3176138999999","","81","84","","","","","",""
"","","","","","","","","","RINCON DEL MAR","C/ Dácil, 17 Punta Brava","922 37 51 00","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.410679483772242"," -16.56416881101904","","81","82","","","","","",""
"","","","","","","","","","CASA LALA","Cno. El Durazno, s/n","922 38 17 94","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.406232996194916"," -16.53179383312817","","81","82","","","","","",""
"","","","","","","","","","Delfín","Avda Cornisa",""," ","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.4718118"," -16.27667099999996","","81","82","","","","","",""
"","","","","","","","","","CLAVELES, LOS","LOS MOLINOS, 18","922840076 /  922 127 076 ","","","+34","Santa Cruz de Tenerife","Buenavista del Norte",38480,"","28.374458030966856"," -16.85232158750295","","81","82","","","","","",""
"","","","","","","","","","LIMÒN","C/ Esquivel, 4","922 38 16 19","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.41662440895559"," -16.54794681089697","","81","82","","","","","","restaurante@ellimon.es"
"","","","","","","","","","ACAPULCO, CASA MARIA","C/ Dácil, 15 Punta Brava","922 38 33 57","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.410519060532348"," -16.56412589567480","","81","82","","","","","",""
"","","","","","","","","","Casa Juan","C/ Subida a Malpaís, 64, Malpaís","922 50 12 46","","","+34","Santa Cruz de Tenerife","Candelaria",38540,"http://www.comerciocandelaria.es","28.3513839"," -16.40446969999993","","81","82","","","","","",""
"","","","","","","","","","TERMINAL, LA","AVDA. 3 DE MAYO (ESTACION GUAGUAS TITSA)",922221301,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38002,"","28.4636296"," -16.25184669999998","","81","82","","","","","",""
"","","","","","","","","","CHINA III","C/ Puerto Viejo, 2","922 38 61 02","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.415878952510226"," -16.55290353315649","","81","82","","","","","",""
"","","","","","","","","","EL PADRINO","C/ El Lomo, 11","922 38 29 37","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.41722831933417"," -16.5523134471732","","81","82","","","","","",""
"","","","","","","","","","KAFKA","C/ Cruz Verde, 2","922 38 12 83","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.417434851097216"," -16.55221340064599","","81","82","","","","","",""
"","","","","","","","","","DOÑA BANANA","AVDA. PRINCIPAL DE AÑAZA, S/N. (EDIF. LOS GUIRRES, L-6)",922687010,922,"","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38108,"","28.4253036"," -16.30277760000001","","81","83","","","","","",""
"","","","","","","","","","DON PELAYO","BENAVIDES, 30",922241966,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38004,"","28.4680819"," -16.25923920000002","","81","82","","","","","",""
"","","","","","","","","","PASO DOBLE","Avda. Marqués Villanueva del Prado, s/n Urb. El Tope","922 38 90 54","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.413689733627958"," -16.54095160978613","","81","83","","","","","",""
"","","","","","","","","","Juan Hernández","C/ Molinos de agua, 42","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.4838297"," -16.3127842000000","","81","84","","","","","",""
"","","","","","","","","","Café bar Nico","Ctra. General de Bajamar, 123 ","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38250,"","28.5329313"," -16.36939029999996","","81","83","","","","","",""
"","","","","","","","","","TENDERETE, EL","C/ LOS AFLIGIDOS, 110 (La Montañeta)",922342594,"","","+34","Santa Cruz de Tenerife","Realejos (Los)",38419,"http://www.restauranteeltenderete.com","28.3895504389358"," -16.56081676483154","","81","82","","","","","","info@restauranteeltenderete.com"
"","","","","","","","","","LA CUADRA","C/ Blanco, 9","922 38 02 71","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.41574684575731"," -16.55017840879736","","81","82","","","","","",""
"","","","","","","","","","Casa Olegario","La piscina, nº9, Candelaria","922 50 05 57","","","+34","Santa Cruz de Tenerife","Candelaria",38530,"http://www.comerciocandelaria.es","28.3590595856516"," -16.3678992389759","","81","82","","","","","",""
"","","","","","","","","","Manolo","C/ Núñez de la Peña, 50","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.4876028"," -16.3190529999999","","81","84","","","","","",""
"","","","","","","","","","Marino Cafetería","Avda. Marítima, 11; Edf Casa Loma, L-2. Candelaria","922 50 26 41","","","+34","Santa Cruz de Tenerife","Candelaria",38530,"","28.3527556"," -16.370127","","81","83","","","","","",""
"","","","","","","","","","REGULO","C/ Pérez Zamora, 16","922 38 45 06","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.416927229627778"," -16.55194097766070","","81","82","","","","","",""
"","","","","","","","","","ROMA ROCA","PRINCIPES DE ESPAÑA, 64 AVDA.",922136425,"","","+34","Santa Cruz de Tenerife","Tanque (El)",38435,"","28.355746540611364"," -16.78231190890073","","81","84","","","","","",""
"","","","","","","","","","Guinda (La)","Ctra General la Esperanza, KM.7.2, 61","922 29 75 26","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38290,"","28.4762977"," -16.41641189999995","","81","83","","","","","",""
"","","","","","","","","","TASCA PIZZERÍA SERIE 5","Ctra. Gral. Las Arenas, Edif. Parque La Asomada, local 2","922 38 45 79","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.41216275827496"," -16.55083429795922","","81","83","","","","","",""
"","","","","","","","","","SAN ANTONIO","FRAGATA DANMARK, 1",922212410,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38005,"","28.4589916"," -16.2624109999999","","81","82","","","","","",""
"","","","","","","","","","PIZZERIA GONDOLA","RAMBLA DE SANTA CRUZ, 127",922280207,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38001,"","28.4746439"," -16.25159680000001","","81","82","","","","","",""
"","","","","","","","","","EL GALLEGO","Avda. de Colón, 2","922 37 51 14","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.418443835209246"," -16.54385304485913","","81","82","","","","","",""
"","","","","","","","","","MARQUESA","C/ Quintana, 11","922 38 31 51","","","+34","Santa Cruz de Tenerife","Puerto de la Cruz (El)",38400,"","28.41705846978483"," -16.5492771865683","","81","82","","","","","",""
"","","","","","","","","","TOSCANA","TOME CANO -EDF. SAN LORENZO",922231002,"","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38000,"","28.4636296"," -16.25184669999998","","81","82","","","","","",""
"","","","","","","","","","My Lady","Ctra. General Punta Ladiza","","","","+34","Santa Cruz de Tenerife","San Cristóbal de la Laguna",38000,"","28.56854228184703"," -16.32397842127829","","81","84","","","","","",""
"","","","","","","","","","Mirador Lomo Molino","C/ El Granero s/n El Tanque",636349446,922,"","+34","Santa Cruz de Tenerife","Tanque (El)",38435,"","28.3588244392791"," -16.78641032427549","","81","82","","","","","",""
"","","","","","","","","","ORCHILLA","AVDA. ISLAS CANARIAS, 15","","","","+34","Santa Cruz de Tenerife","Santa Cruz de Tenerife",38008,"","28.4549595"," -16.26796050000007","","81","84","","","","","",""
